palabra,valencia,polaridad,frecuencia
totalitarianism,-2.7,negativa,1
crude,-2.7,negativa,2
loathing,-2.7,negativa,1
drown,-2.7,negativa,34
depression,-2.7,negativa,1
misery,-2.7,negativa,2
horror,-2.7,negativa,25
terrifying,-2.7,negativa,3
weep,-2.7,negativa,1
stealing,-2.7,negativa,7
ugliness,-2.7,negativa,1
injustice,-2.7,negativa,1
heartbreak,-2.7,negativa,2
horrifying,-2.7,negativa,1
fury,-2.7,negativa,2
negative,-2.7,negativa,4
destroys,-2.6,negativa,11
died,-2.6,negativa,28
rob,-2.6,negativa,4
rage,-2.6,negativa,6
sin,-2.6,negativa,4
dumbass,-2.6,negativa,1
shitty,-2.6,negativa,3
ban,-2.6,negativa,10
riot,-2.6,negativa,41
alarmingly,-2.6,negativa,1
po,-2.6,negativa,3
illegal,-2.6,negativa,8
punishing,-2.6,negativa,1
destroying,-2.6,negativa,3
nasty,-2.6,negativa,4
fired,-2.6,negativa,5
shit,-2.6,negativa,52
suffer,-2.5,negativa,4
choke,-2.5,negativa,1
enemy,-2.5,negativa,8
harassed,-2.5,negativa,1
fatal,-2.5,negativa,57
fuck,-2.5,negativa,40
harm,-2.5,negativa,42
crime,-2.5,negativa,14
prisoner,-2.5,negativa,2
bastard,-2.5,negativa,2
fail,-2.5,negativa,6
bad,-2.5,negativa,46
ass,-2.5,negativa,1
harassment,-2.5,negativa,1
troubling,-2.5,negativa,1
curse,-2.5,negativa,1
horrible,-2.5,negativa,31
destroy,-2.5,negativa,41
criminal,-2.4,negativa,9
wth,-2.4,negativa,1
wicked,-2.4,negativa,4
hurt,-2.4,negativa,12
loser,-2.4,negativa,1
threatening,-2.4,negativa,6
disgusting,-2.4,negativa,3
lying,-2.4,negativa,4
trapped,-2.4,negativa,42
mourns,-2.4,negativa,2
thief,-2.4,negativa,2
terror,-2.4,negativa,14
unhappiness,-2.4,negativa,3
sabotage,-2.4,negativa,1
distress,-2.4,negativa,1
sucker,-2.4,negativa,1
mofo,-2.4,negativa,1
threat,-2.4,negativa,17
traumatised,-2.4,negativa,36
raging,-2.4,negativa,1
conspiracy,-2.4,negativa,2
violator,-2.4,negativa,1
sorrow,-2.4,negativa,3
casualty,-2.4,negativa,66
frustrated,-2.4,negativa,1
revenge,-2.4,negativa,1
danger,-2.4,negativa,36
violated,-2.4,negativa,1
stupid,-2.4,negativa,8
retard,-2.4,negativa,1
abused,-2.3,negativa,4
condemns,-2.3,negativa,1
rotten,-2.3,negativa,2
sorrower,-2.3,negativa,1
stressful,-2.3,negativa,3
ugly,-2.3,negativa,6
cheated,-2.3,negativa,1
hating,-2.3,negativa,3
fiasco,-2.3,negativa,2
failing,-2.3,negativa,1
depressed,-2.3,negativa,1
rejected,-2.3,negativa,2
liar,-2.3,negativa,1
insult,-2.3,negativa,2
panic,-2.3,negativa,41
outrage,-2.3,negativa,16
sick,-2.3,negativa,16
failed,-2.3,negativa,6
angry,-2.3,negativa,20
dick,-2.3,negativa,4
failure,-2.3,negativa,43
outcry,-2.3,negativa,1
worsen,-2.3,negativa,1
idiot,-2.3,negativa,4
prison,-2.3,negativa,6
poverty,-2.3,negativa,5
damaging,-2.3,negativa,3
dumb,-2.3,negativa,2
remorseless,-2.3,negativa,1
pain,-2.3,negativa,19
bomb,-2.2,negativa,115
cunt,-2.2,negativa,4
bully,-2.2,negativa,3
disgrace,-2.2,negativa,1
steal,-2.2,negativa,3
arrogant,-2.2,negativa,1
aching,-2.2,negativa,1
disappointing,-2.2,negativa,1
jailed,-2.2,negativa,2
perpetrator,-2.2,negativa,1
infected,-2.2,negativa,1
wasted,-2.2,negativa,1
moron,-2.2,negativa,1
suffered,-2.2,negativa,2
screwed,-2.2,negativa,1
stolen,-2.2,negativa,3
darkest,-2.2,negativa,2
drowns,-2.2,negativa,1
frightening,-2.2,negativa,1
violation,-2.2,negativa,3
feared,-2.2,negativa,22
punishment,-2.2,negativa,2
scare,-2.2,negativa,4
destroyed,-2.2,negativa,40
collapse,-2.2,negativa,78
scary,-2.2,negativa,7
damage,-2.2,negativa,61
blaming,-2.2,negativa,1
fear,-2.2,negativa,68
spammer,-2.2,negativa,1
grief,-2.2,negativa,6
poisoned,-2.2,negativa,1
catastrophic,-2.2,negativa,34
sorrowful,-2.2,negativa,1
heroin,-2.2,negativa,2
heartless,-2.2,negativa,3
mad,-2.2,negativa,19
obliterated,-2.1,negativa,31
accident,-2.1,negativa,97
suspended,-2.1,negativa,1
shame,-2.1,negativa,8
incompetent,-2.1,negativa,1
unfair,-2.1,negativa,1
badly,-2.1,negativa,1
ruined,-2.1,negativa,3
disappointed,-2.1,negativa,1
attack,-2.1,negativa,110
poor,-2.1,negativa,20
totalitarian,-2.1,negativa,1
blamed,-2.1,negativa,6
upsetting,-2.1,negativa,1
fake,-2.1,negativa,6
shattered,-2.1,negativa,1
suffering,-2.1,negativa,5
terrible,-2.1,negativa,7
dangerous,-2.1,negativa,9
worse,-2.1,negativa,15
choked,-2.1,negativa,1
disdain,-2.1,negativa,1
suffers,-2.1,negativa,1
smuggler,-2.1,negativa,2
broken,-2.1,negativa,10
wrong,-2.1,negativa,22
frustration,-2.1,negativa,1
gross,-2.1,negativa,1
arrested,-2.1,negativa,15
oppressed,-2.1,negativa,1
cry,-2.1,negativa,18
sad,-2.1,negativa,17
punished,-2.0,negativa,2
jealous,-2.0,negativa,2
abusing,-2.0,negativa,2
offensive,-2.0,negativa,29
attacked,-2.0,negativa,41
desperation,-2.0,negativa,1
awful,-2.0,negativa,7
polluted,-2.0,negativa,1
penalty,-2.0,negativa,5
destroyer,-2.0,negativa,2
savage,-2.0,negativa,1
choking,-2.0,negativa,4
sucked,-2.0,negativa,1
abandoned,-2.0,negativa,10
severely,-2.0,negativa,1
beating,-2.0,negativa,1
neglect,-2.0,negativa,1
attacking,-2.0,negativa,4
censor,-2.0,negativa,1
tragic,-2.0,negativa,2
cheat,-2.0,negativa,2
panicked,-2.0,negativa,1
banned,-2.0,negativa,21
defeat,-2.0,negativa,2
forced,-2.0,negativa,8
rude,-2.0,negativa,1
worthless,-1.9,negativa,1
notorious,-1.9,negativa,1
dismayed,-1.9,negativa,1
scandal,-1.9,negativa,2
meaningless,-1.9,negativa,1
disillusioned,-1.9,negativa,1
hysteria,-1.9,negativa,2
painful,-1.9,negativa,1
panicking,-1.9,negativa,33
block,-1.9,negativa,13
defective,-1.9,negativa,1
denied,-1.9,negativa,1
starve,-1.9,negativa,1
punishable,-1.9,negativa,1
freak,-1.9,negativa,12
mindless,-1.9,negativa,1
weak,-1.9,negativa,2
undeserving,-1.9,negativa,1
fool,-1.9,negativa,3
tired,-1.9,negativa,10
worry,-1.9,negativa,15
displeased,-1.9,negativa,1
mourning,-1.9,negativa,5
abandon,-1.9,negativa,3
bloody,-1.9,negativa,45
suck,-1.9,negativa,5
wreck,-1.9,negativa,60
embarrassment,-1.9,negativa,1
damaged,-1.9,negativa,9
scared,-1.9,negativa,17
temper,-1.8,negativa,2
sadly,-1.8,negativa,8
weirdo,-1.8,negativa,1
devastation,-1.8,negativa,37
useless,-1.8,negativa,1
beaten,-1.8,negativa,1
mock,-1.8,negativa,2
tantrum,-1.8,negativa,1
bitter,-1.8,negativa,1
lame,-1.8,negativa,1
broke,-1.8,negativa,13
agony,-1.8,negativa,1
unhappy,-1.8,negativa,1
regret,-1.8,negativa,3
waste,-1.8,negativa,7
struggling,-1.8,negativa,2
ugh,-1.8,negativa,5
jackass,-1.8,negativa,1
denies,-1.8,negativa,1
weakness,-1.8,negativa,2
starving,-1.8,negativa,2
disrespect,-1.8,negativa,1
guilty,-1.8,negativa,3
hater,-1.8,negativa,1
trauma,-1.8,negativa,39
injury,-1.8,negativa,81
freaking,-1.8,negativa,2
protesting,-1.8,negativa,2
stress,-1.8,negativa,6
woe,-1.8,negativa,1
ill,-1.8,negativa,5
crushed,-1.8,negativa,31
prosecute,-1.7,negativa,1
isolation,-1.7,negativa,1
greed,-1.7,negativa,1
trouble,-1.7,negativa,34
reckless,-1.7,negativa,2
hacked,-1.7,negativa,1
problem,-1.7,negativa,22
detained,-1.7,negativa,3
crash,-1.7,negativa,124
reject,-1.7,negativa,4
insane,-1.7,negativa,6
illness,-1.7,negativa,2
fault,-1.7,negativa,1
provoke,-1.7,negativa,14
hurting,-1.7,negativa,1
error,-1.7,negativa,5
shocking,-1.7,negativa,2
wasting,-1.7,negativa,1
lose,-1.7,negativa,10
injured,-1.7,negativa,56
dull,-1.7,negativa,1
piss,-1.7,negativa,1
blind,-1.7,negativa,5
scream,-1.7,negativa,37
disorder,-1.7,negativa,2
annoying,-1.7,negativa,3
dispute,-1.7,negativa,1
inferior,-1.7,negativa,1
damn,-1.7,negativa,23
farce,-1.7,negativa,1
slam,-1.6,negativa,2
crap,-1.6,negativa,8
grave,-1.6,negativa,1
fight,-1.6,negativa,31
fooled,-1.6,negativa,1
severe,-1.6,negativa,47
abandoning,-1.6,negativa,1
bummer,-1.6,negativa,2
prosecuted,-1.6,negativa,6
incapable,-1.6,negativa,1
embarrassing,-1.6,negativa,1
repression,-1.6,negativa,1
cried,-1.6,negativa,2
depressing,-1.6,negativa,2
screaming,-1.6,negativa,43
disappoints,-1.6,negativa,3
blocking,-1.6,negativa,5
threatens,-1.6,negativa,7
unsecured,-1.6,negativa,1
battle,-1.6,negativa,40
threaten,-1.6,negativa,2
condemn,-1.6,negativa,2
emergency,-1.6,negativa,158
uncomfortable,-1.6,negativa,1
dumbfounded,-1.6,negativa,1
losing,-1.6,negativa,5
annoyed,-1.6,negativa,1
sobbing,-1.6,negativa,1
dislike,-1.6,negativa,1
battlefield,-1.6,negativa,9
restricted,-1.6,negativa,4
argues,-1.6,negativa,1
decayed,-1.6,negativa,1
distraction,-1.6,negativa,1
freakiest,-1.6,negativa,7
shock,-1.6,negativa,3
upset,-1.6,negativa,8
cowardly,-1.6,negativa,1
disturbance,-1.6,negativa,1
stressing,-1.5,negativa,1
funeral,-1.5,negativa,1
unsuccessful,-1.5,negativa,1
spam,-1.5,negativa,1
clueless,-1.5,negativa,2
whine,-1.5,negativa,1
doubt,-1.5,negativa,5
freaky,-1.5,negativa,1
crushing,-1.5,negativa,1
ridiculous,-1.5,negativa,4
overload,-1.5,negativa,2
sore,-1.5,negativa,2
uncontrollable,-1.5,negativa,1
careless,-1.5,negativa,2
coerced,-1.5,negativa,1
exhausted,-1.5,negativa,2
grime,-1.5,negativa,1
mistaken,-1.5,negativa,1
fighting,-1.5,negativa,12
hooligan,-1.5,negativa,2
dupe,-1.5,negativa,1
obstacle,-1.5,negativa,1
argument,-1.5,negativa,2
embarrassed,-1.5,negativa,1
ignore,-1.5,negativa,2
difficult,-1.5,negativa,2
denier,-1.5,negativa,3
debt,-1.5,negativa,6
sux,-1.5,negativa,1
exhaustion,-1.5,negativa,1
appalling,-1.5,negativa,1
suspicious,-1.5,negativa,1
rigged,-1.5,negativa,1
eerie,-1.5,negativa,1
collision,-1.5,negativa,41
fallen,-1.5,negativa,5
disagreement,-1.5,negativa,1
lonely,-1.5,negativa,4
drained,-1.5,negativa,1
witch,-1.5,negativa,2
offender,-1.5,negativa,1
unstable,-1.5,negativa,2
adverse,-1.5,negativa,1
messy,-1.5,negativa,1
mess,-1.5,negativa,5
lag,-1.4,negativa,1
denying,-1.4,negativa,1
alarm,-1.4,negativa,22
defeater,-1.4,negativa,1
fiery,-1.4,negativa,1
accuses,-1.4,negativa,4
deny,-1.4,negativa,2
argue,-1.4,negativa,1
crazy,-1.4,negativa,21
gun,-1.4,negativa,28
avoided,-1.4,negativa,2
messed,-1.4,negativa,2
accidentally,-1.4,negativa,6
interrupt,-1.4,negativa,1
firing,-1.4,negativa,1
mlm,-1.4,negativa,1
disappears,-1.4,negativa,1
dirt,-1.4,negativa,4
stressed,-1.4,negativa,3
worrying,-1.4,negativa,2
wimp,-1.4,negativa,1
warning,-1.4,negativa,53
defect,-1.4,negativa,2
shoot,-1.4,negativa,3
difficulty,-1.4,negativa,2
alarmed,-1.4,negativa,2
fire,-1.4,negativa,350
mistake,-1.4,negativa,4
blame,-1.4,negativa,7
unimpressed,-1.4,negativa,1
drunk,-1.4,negativa,11
avoiding,-1.4,negativa,8
unfortunately,-1.4,negativa,2
combat,-1.4,negativa,4
uncertainty,-1.4,negativa,1
leak,-1.4,negativa,4
gag,-1.4,negativa,1
rant,-1.4,negativa,2
arrest,-1.4,negativa,4
derailed,-1.4,negativa,36
ridiculously,-1.4,negativa,1
bother,-1.4,negativa,3
shocked,-1.3,negativa,2
loss,-1.3,negativa,10
delay,-1.3,negativa,8
desperate,-1.3,negativa,1
derails,-1.3,negativa,4
fought,-1.3,negativa,1
ghost,-1.3,negativa,2
loose,-1.3,negativa,8
greedy,-1.3,negativa,2
faulty,-1.3,negativa,2
dumping,-1.3,negativa,1
trap,-1.3,negativa,5
despair,-1.3,negativa,2
provokes,-1.3,negativa,1
screamed,-1.3,negativa,36
awol,-1.3,negativa,1
ignored,-1.3,negativa,2
tease,-1.3,negativa,2
boring,-1.3,negativa,2
odd,-1.3,negativa,4
leaked,-1.3,negativa,2
smh,-1.3,negativa,6
imperfect,-1.3,negativa,2
struggle,-1.3,negativa,13
disruptive,-1.3,negativa,2
confused,-1.3,negativa,1
frenzy,-1.3,negativa,1
indecisiveness,-1.3,negativa,1
mockery,-1.3,negativa,1
loses,-1.3,negativa,3
anti,-1.3,negativa,9
bothered,-1.3,negativa,1
loner,-1.3,negativa,1
lack,-1.3,negativa,5
lost,-1.3,negativa,25
mocked,-1.3,negativa,1
weakening,-1.3,negativa,2
forbid,-1.3,negativa,2
tension,-1.3,negativa,11
aggressively,-1.3,negativa,1
critical,-1.3,negativa,3
forbids,-1.3,negativa,1
conflict,-1.3,negativa,6
suspend,-1.3,negativa,1
obsolete,-1.2,negativa,1
avoid,-1.2,negativa,10
worried,-1.2,negativa,5
allergic,-1.2,negativa,1
worn,-1.2,negativa,2
underestimate,-1.2,negativa,1
weapon,-1.2,negativa,87
missing,-1.2,negativa,43
suspect,-1.2,negativa,37
stop,-1.2,negativa,58
refuse,-1.2,negativa,4
childish,-1.2,negativa,1
mia,-1.2,negativa,1
lower,-1.2,negativa,5
accused,-1.2,negativa,4
hiding,-1.2,negativa,2
no,-1.2,negativa,263
uncertain,-1.2,negativa,1
restlessness,-1.2,negativa,1
missed,-1.2,negativa,7
complaint,-1.2,negativa,3
aggression,-1.2,negativa,1
pity,-1.2,negativa,2
freaked,-1.2,negativa,1
pressure,-1.2,negativa,9
undermine,-1.2,negativa,1
derail,-1.2,negativa,35
warfare,-1.2,negativa,1
graveyard,-1.2,negativa,2
refused,-1.2,negativa,3
deafening,-1.2,negativa,1
risk,-1.1,negativa,18
victim,-1.1,negativa,27
remorse,-1.1,negativa,2
nervous,-1.1,negativa,1
bored,-1.1,negativa,4
pileup,-1.1,negativa,2
cut,-1.1,negativa,16
blocked,-1.1,negativa,11
low,-1.1,negativa,26
battling,-1.1,negativa,5
hoax,-1.1,negativa,4
disregard,-1.1,negativa,1
collapsed,-1.1,negativa,36
foolish,-1.1,negativa,1
lone,-1.1,negativa,3
warned,-1.1,negativa,5
slash,-1.1,negativa,1
haunting,-1.1,negativa,4
drop,-1.1,negativa,8
suing,-1.1,negativa,1
ignorant,-1.1,negativa,1
ruining,-1.0,negativa,2
bore,-1.0,negativa,3
unsure,-1.0,negativa,1
darkness,-1.0,negativa,3
offended,-1.0,negativa,1
downside,-1.0,negativa,1
cancelled,-1.0,negativa,2
cancel,-1.0,negativa,6
lowly,-1.0,negativa,5
stuck,-1.0,negativa,5
hunger,-1.0,negativa,3
uncontrolled,-1.0,negativa,1
struck,-1.0,negativa,7
offense,-1.0,negativa,1
propaganda,-1.0,negativa,1
sarcastic,-1.0,negativa,1
protest,-1.0,negativa,7
alone,-1.0,negativa,19
anxious,-1.0,negativa,3
rebelled,-1.0,negativa,1
lawsuit,-0.9,negativa,2
monopolized,-0.9,negativa,1
shrew,-0.9,negativa,1
delayed,-0.9,negativa,2
drag,-0.9,negativa,3
suspected,-0.9,negativa,13
stopped,-0.9,negativa,9
forgotten,-0.9,negativa,4
limited,-0.9,negativa,9
vulnerability,-0.9,negativa,1
disappear,-0.9,negativa,2
grossly,-0.9,negativa,1
disappeared,-0.9,negativa,2
unwanted,-0.9,negativa,1
vulnerable,-0.9,negativa,5
forget,-0.9,negativa,9
sarcasm,-0.9,negativa,2
unstoppable,-0.8,negativa,1
empty,-0.8,negativa,4
petty,-0.8,negativa,1
unaware,-0.8,negativa,1
stalled,-0.8,negativa,1
strange,-0.8,negativa,5
risky,-0.8,negativa,1
liability,-0.8,negativa,2
complaining,-0.8,negativa,1
postponed,-0.8,negativa,1
cramp,-0.8,negativa,1
geek,-0.8,negativa,1
charged,-0.8,negativa,21
shaking,-0.7,negativa,3
warship,-0.7,negativa,8
trickier,-0.7,negativa,1
anxiety,-0.7,negativa,3
obsessed,-0.7,negativa,2
weird,-0.7,negativa,10
hide,-0.7,negativa,2
shake,-0.7,negativa,4
avoids,-0.7,negativa,1
seriously,-0.7,negativa,9
avert,-0.7,negativa,1
expose,-0.6,negativa,2
miss,-0.6,negativa,18
badass,-0.6,negativa,1
cock,-0.6,negativa,4
moan,-0.6,negativa,1
falling,-0.6,negativa,16
aggressive,-0.6,negativa,2
tricky,-0.6,negativa,1
gloomy,-0.6,negativa,1
crush,-0.6,negativa,39
awkward,-0.6,negativa,2
stopping,-0.6,negativa,1
affected,-0.6,negativa,32
ironic,-0.5,negativa,2
barrier,-0.5,negativa,2
demand,-0.5,negativa,5
offline,-0.5,negativa,1
alarming,-0.5,negativa,1
unconfirmed,-0.5,negativa,16
tough,-0.5,negativa,6
strike,-0.5,negativa,19
cocky,-0.5,negativa,1
gravel,-0.5,negativa,2
lowered,-0.5,negativa,1
cutting,-0.5,negativa,3
rig,-0.5,negativa,1
cautious,-0.4,negativa,1
shook,-0.4,negativa,3
warn,-0.4,negativa,4
hard,-0.4,negativa,20
freezing,-0.4,negativa,3
nah,-0.4,negativa,9
stunned,-0.4,negativa,2
questioning,-0.4,negativa,2
idk,-0.4,negativa,6
blah,-0.4,negativa,3
costly,-0.4,negativa,2
parley,-0.4,negativa,8
pay,-0.4,negativa,23
exaggerated,-0.4,negativa,1
screw,-0.4,negativa,2
imposing,-0.4,negativa,1
bias,-0.4,negativa,1
challenged,-0.4,negativa,2
warns,-0.4,negativa,6
pretend,-0.4,negativa,2
bailout,-0.4,negativa,1
exploit,-0.4,negativa,3
averted,-0.3,negativa,6
shaken,-0.3,negativa,1
imposed,-0.3,negativa,1
mediocrity,-0.3,negativa,1
stealth,-0.3,negativa,1
trivium,-0.3,negativa,1
sorry,-0.3,negativa,21
collide,-0.3,negativa,33
serious,-0.3,negativa,12
rainy,-0.3,negativa,1
exposed,-0.3,negativa,2
indifference,-0.2,negativa,2
toughens,-0.2,negativa,1
trick,-0.2,negativa,2
noob,-0.2,negativa,1
swear,-0.2,negativa,3
domination,-0.2,negativa,1
strain,-0.2,negativa,2
leave,-0.2,negativa,28
irony,-0.2,negativa,2
overlooked,-0.1,negativa,1
battleship,-0.1,negativa,4
sentenced,-0.1,negativa,1
chilling,-0.1,negativa,2
crazier,-0.1,negativa,1
lobby,0.1,positiva,1
backing,0.1,positiva,1
aboard,0.1,positiva,1
prevent,0.1,positiva,11
defensive,0.1,positiva,1
backed,0.1,positiva,1
whitewash,0.1,positiva,1
sigh,0.1,positiva,1
silly,0.1,positiva,1
matter,0.1,positiva,13
reach,0.1,positiva,8
stuns,0.1,positiva,2
champaign,0.2,positiva,1
freeway,0.2,positiva,2
grey,0.2,positiva,5
escaping,0.2,positiva,2
apology,0.2,positiva,1
freeze,0.2,positiva,1
relentless,0.2,positiva,2
mandatory,0.3,positiva,2
charmeuse,0.3,positiva,1
excuse,0.3,positiva,4
pls,0.3,positiva,5
awaits,0.3,positiva,2
challenge,0.3,positiva,6
diving,0.3,positiva,6
authority,0.3,positiva,6
hail,0.3,positiva,43
plz,0.3,positiva,1
intense,0.3,positiva,1
number,0.3,positiva,20
committing,0.3,positiva,1
want,0.3,positiva,90
defence,0.4,positiva,1
cleared,0.4,positiva,3
demonstration,0.4,positiva,2
defender,0.4,positiva,1
slicker,0.4,positiva,2
await,0.4,positiva,1
apologize,0.4,positiva,1
thriller,0.4,positiva,5
kidding,0.4,positiva,2
reached,0.4,positiva,1
feeling,0.5,positiva,23
carefully,0.5,positiva,1
supremacist,0.5,positiva,1
defense,0.5,positiva,6
exclusive,0.5,positiva,2
legal,0.5,positiva,5
extends,0.5,positiva,3
verdict,0.6,positiva,3
mmk,0.6,positiva,1
challenging,0.6,positiva,1
careful,0.6,positiva,5
warming,0.6,positiva,4
solid,0.6,positiva,3
emotional,0.6,positiva,11
fighter,0.6,positiva,6
brisk,0.6,positiva,2
extend,0.7,positiva,1
competitive,0.7,positiva,1
freestyle,0.7,positiva,2
resolved,0.7,positiva,1
growing,0.7,positiva,2
adopt,0.7,positiva,1
escape,0.7,positiva,17
casually,0.7,positiva,1
spirit,0.7,positiva,8
stout,0.7,positiva,2
favoritism,0.7,positiva,1
amazon,0.7,positiva,11
jp,0.8,positiva,2
important,0.8,positiva,2
urgent,0.8,positiva,3
playing,0.8,positiva,19
fyi,0.8,positiva,6
agrees,0.8,positiva,2
reaching,0.8,positiva,4
fine,0.8,positiva,10
retreat,0.8,positiva,1
dominance,0.8,positiva,1
significant,0.8,positiva,3
intact,0.8,positiva,3
smug,0.8,positiva,1
substantial,0.8,positiva,1
recommended,0.8,positiva,2
casual,0.8,positiva,3
bargain,0.8,positiva,5
livelihood,0.8,positiva,2
top,0.8,positiva,56
passive,0.8,positiva,1
admit,0.8,positiva,2
solve,0.8,positiva,3
allow,0.9,positiva,6
okay,0.9,positiva,22
spark,0.9,positiva,5
prepared,0.9,positiva,6
wishing,0.9,positiva,1
worth,0.9,positiva,11
exploration,0.9,positiva,8
consent,0.9,positiva,2
warm,0.9,positiva,3
impression,0.9,positiva,1
surprised,0.9,positiva,5
compelling,0.9,positiva,1
straight,0.9,positiva,11
chance,1.0,positiva,22
advantage,1.0,positiva,1
certainty,1.0,positiva,1
alright,1.0,positiva,4
surety,1.0,positiva,1
created,1.0,positiva,7
granted,1.0,positiva,1
readiness,1.0,positiva,1
advanced,1.0,positiva,2
vision,1.0,positiva,3
dream,1.0,positiva,13
comprehensive,1.0,positiva,1
creates,1.1,positiva,2
strongly,1.1,positiva,2
surprise,1.1,positiva,7
significance,1.1,positiva,1
increased,1.1,positiva,5
committed,1.1,positiva,2
appease,1.1,positiva,1
creation,1.1,positiva,1
ensuring,1.1,positiva,1
create,1.1,positiva,9
forgive,1.1,positiva,2
agreed,1.1,positiva,5
solved,1.1,positiva,1
happing,1.1,positiva,1
well,1.1,positiva,50
gt,1.1,positiva,6
humor,1.1,positiva,1
certain,1.1,positiva,6
fitness,1.1,positiva,3
energy,1.1,positiva,7
definite,1.1,positiva,1
god,1.1,positiva,61
supporter,1.1,positiva,1
worship,1.2,positiva,1
restore,1.2,positiva,5
joke,1.2,positiva,3
helping,1.2,positiva,12
champagne,1.2,positiva,1
tolerance,1.2,positiva,1
stable,1.2,positiva,1
gn,1.2,positiva,2
yeah,1.2,positiva,26
commit,1.2,positiva,3
surviving,1.2,positiva,1
gg,1.2,positiva,2
supportive,1.2,positiva,1
creating,1.2,positiva,2
restoring,1.2,positiva,1
treasure,1.2,positiva,2
share,1.2,positiva,24
ok,1.2,positiva,40
swiftly,1.2,positiva,1
yep,1.2,positiva,3
immune,1.2,positiva,1
vital,1.2,positiva,2
join,1.2,positiva,13
alert,1.2,positiva,7
admits,1.2,positiva,6
inviting,1.3,positiva,1
apologized,1.3,positiva,1
promise,1.3,positiva,10
endorsement,1.3,positiva,1
accepts,1.3,positiva,1
calm,1.3,positiva,9
fan,1.3,positiva,44
actively,1.3,positiva,1
sure,1.3,positiva,32
ability,1.3,positiva,4
entertain,1.3,positiva,1
novel,1.3,positiva,3
truth,1.3,positiva,20
pardon,1.3,positiva,1
optimistic,1.3,positiva,1
adventure,1.3,positiva,3
original,1.3,positiva,9
increase,1.3,positiva,4
calmly,1.3,positiva,1
huge,1.3,positiva,21
fair,1.3,positiva,5
responsible,1.3,positiva,5
fresh,1.3,positiva,5
greet,1.3,positiva,1
embrace,1.3,positiva,1
solution,1.3,positiva,5
expand,1.3,positiva,2
cool,1.3,positiva,33
securing,1.3,positiva,1
pray,1.3,positiva,16
please,1.3,positiva,72
joked,1.3,positiva,1
secures,1.3,positiva,1
pride,1.4,positiva,1
excited,1.4,positiva,4
superiority,1.4,positiva,1
innocent,1.4,positiva,5
motivation,1.4,positiva,2
ha,1.4,positiva,7
shared,1.4,positiva,4
determined,1.4,positiva,1
value,1.4,positiva,6
play,1.4,positiva,30
played,1.4,positiva,13
m8,1.4,positiva,1
certainly,1.4,positiva,4
giving,1.4,positiva,8
solving,1.4,positiva,1
diamond,1.4,positiva,5
np,1.4,positiva,5
endorses,1.4,positiva,2
engage,1.4,positiva,2
devote,1.4,positiva,1
security,1.4,positiva,31
easily,1.4,positiva,5
assured,1.5,positiva,1
recommend,1.5,positiva,5
promised,1.5,positiva,1
thx,1.5,positiva,8
giggling,1.5,positiva,1
credited,1.5,positiva,1
agree,1.5,positiva,13
encouraged,1.5,positiva,1
greater,1.5,positiva,1
thank,1.5,positiva,33
elation,1.5,positiva,1
praying,1.5,positiva,1
tx,1.5,positiva,1
sympathy,1.5,positiva,3
